String,Country
12493,United States
12884,United States
12378,Colombia
12379,Colombia
12381,Colombia
12382,Colombia
12383,Colombia
12384,Colombia
12385,Colombia
12387,Colombia
12388,Colombia
12395,Colombia
13311,Saudi Arabia
13312,Saudi Arabia
14557,Canada
12279,Argentina
12281,Argentina
13063,United States
13638,United States
14223,United States
14628,Argentina
11868,United States
12203,United States
12204,United States
12574,United States
14121,Indonesia
10956,Netherlands
13317,Saudi Arabia
13318,Saudi Arabia
13319,Saudi Arabia
13895,Saudi Arabia
13983,Saudi Arabia
14301,United States
14001,United States
12801,United States
12802,United States
12704,Egypt
13301,Argentina
13817,Kuwait
13156,United States
11616,United States
12225,United States
12275,United States
12276,United States
"10956,",Norway
13333,United Arab Emirates
13334,United Arab Emirates
12778,United States
12780,United States
12781,United States
12782,United States
12783,United States
13324,Saudi Arabia
13325,Saudi Arabia
13505,United States
13506,United States
13507,United States
13508,United States
13510,United States
13655,Saudi Arabia
13740,Saudi Arabia
13741,Saudi Arabia
13742,Saudi Arabia
13743,Saudi Arabia
13793,United States
14082,Saudi Arabia
14083,Saudi Arabia
14084,Saudi Arabia
14085,Saudi Arabia
14267,Saudi Arabia
14269,Saudi Arabia
"11407,",United States
13509,United States
14271,United States
14380,United States
12842,United States
13503,United States
13504,United States
12602,United States
11752,United States
12036,United States
12135,United States
12241,United States
14351,Chile
14352,Chile
14353,Chile
14354,Chile
14355,Chile
14356,Chile
14357,Chile
14358,Chile
14359,Chile
14360,Chile
14361,Chile
12594,Mexico
12910,Mexico
12911,Mexico
12912,Mexico
13019,United States
13020,United States
13159,United States
13160,United States
13756,United States
14038,Canada
14039,Canada
14307,United States
14643,United States
12143,Malaysia
13735,United States
13898,United States
13712,Iraq
14192,Iraq
14193,Iraq
12494,Libya
12495,Libya
12915,Libya
12916,Libya
12977,Libya
13496,Libya
13546,United States
13603,Libya
13604,Libya
13647,Libya
13648,Libya
13800,Libya
14300,Thailand
14444,United States
14608,Libya
13829,Saudi Arabia
13151,United States
13050,Canada
13592,Canada
13593,Canada
11676,Saudi Arabia
11730,Saudi Arabia
11731,Saudi Arabia
12794,Saudi Arabia
12795,Saudi Arabia
13164,Saudi Arabia
13568,Saudi Arabia
13569,Saudi Arabia
14607,United States
13356,Saudi Arabia
12386,Colombia
11474,United States
12298,Chile
12304,Chile
12305,Chile
12306,Chile
12307,Chile
12308,Chile
12309,Chile
12310,Chile
12311,Chile
12312,Chile
12313,Chile
12314,Chile
12315,Chile
12316,Chile
12318,Chile
12319,Chile
12320,Chile
12322,Chile
12323,Chile
12324,Chile
12325,Chile
12326,Chile
12327,Chile
13231,Chile
13023,United States
13963,United States
13034,United Arab Emirates
14549,Canada
11969,Colombia
13355,Saudi Arabia
14231,Saudi Arabia
14551,Canada
14552,Canada
14553,Canada
14554,Canada
14555,Canada
14556,Canada
13540,Libya
12703,Egypt
14069,United States
14284,Saudi Arabia
11771,Iraq
11970,Colombia
10298,United States
10978,United States
11582,United States
12683,Saudi Arabia
12697,United States
12698,United States
14219,Saudi Arabia
13002,Thailand
11542,Canada
14059,Iraq
14520,Iraq
14635,Chile
13385,Kazakhstan
13602,Libya
13005,Algeria
13006,Algeria
13007,Algeria
13087,Algeria
13088,Algeria
13089,Algeria
13090,Algeria
13091,Algeria
13273,United Arab Emirates
13275,United Arab Emirates
13276,United Arab Emirates
13277,United Arab Emirates
13278,United Arab Emirates
13279,United Arab Emirates
13424,United Arab Emirates
13659,United Arab Emirates
13660,United Arab Emirates
13661,United Arab Emirates
13662,United Arab Emirates
13663,United Arab Emirates
13664,United Arab Emirates
13665,United Arab Emirates
13666,United Arab Emirates
13667,United Arab Emirates
13668,United Arab Emirates
14743,Saudi Arabia
14781,Saudi Arabia
14328,United States
13914,United States
11972,Algeria
11973,Algeria
11974,Algeria
11734,Egypt
12337,Argentina
12770,Argentina
12949,Argentina
12950,Argentina
12985,Argentina
13210,United Arab Emirates
13211,United Arab Emirates
13578,Egypt
14068,Egypt
13232,Chile
13233,Chile
13234,Chile
13235,Chile
13236,Chile
13237,Chile
13238,Chile
13239,Chile
13240,Chile
13241,Chile
13242,Chile
13243,Chile
13244,Chile
13245,Chile
12415,Saudi Arabia
12059,United States
12060,United States
12062,United States
12064,United States
12065,United States
"11326,",United States
13383,Mexico
13313,United States
12236,United States
12722,United Arab Emirates
12723,Oman
12925,United States
12975,United States
13571,United States
14156,United States
14157,United States
14340,United States
14349,United States
14534,United States
11326,United States
12042,United States
12589,United States
12632,United States
12693,United States
13014,United States
13015,United States
13017,United States
13292,United States
13390,United States
13420,United States
13425,United States
13513,United States
13564,United States
13570,United States
14021,United States
12562,United States
13605,United States
13606,United States
14346,Mexico
13321,Saudi Arabia
13575,United States
13576,United States
13650,United States
13857,United States
14402,Mexico
11966,United States
12964,United States
14243,Norway
12769,United States
13165,Canada
11984,Colombia
12464A,Peru
12073,Kuwait
12074,Kuwait
12075,Kuwait
12076,Kuwait
13181,Kuwait
13182,Kuwait
13183,Kuwait
13810,Kuwait
13811,Kuwait
13812,Kuwait
14005,Kuwait
12864,Argentina
14440,United States
12174,Canada
12175,Canada
12176,Canada
12177,Canada
12178,Canada
12771,Argentina
14543,Argentina
11804,Oman
11805,Oman
11806,Oman
13534,Mexico
13198,United States
14717,Libya
12245,United States
"11300,",United States
13196,Canada
13197,Canada
13199,United States
13200,United Arab Emirates
13201,United Arab Emirates
13202,United Arab Emirates
13203,United Arab Emirates
13204,United Arab Emirates
13205,United Arab Emirates
13206,United Arab Emirates
13207,United Arab Emirates
13348,United States
13349,United States
13397,United States
13589,Saudi Arabia
12525,United States
13799,United States
13293,Saudi Arabia
13522,Argentina
13523,Argentina
13524,Argentina
13750,Argentina
12189,United States
12190,United States
12191,United States
12192,United States
12193,United States
12194,United States
13538,Egypt
LES-9970,United States
13611,Saudi Arabia
13314,Saudi Arabia
13315,Saudi Arabia
13399,Saudi Arabia
13771,United States
13447,United States
13517,United States
12845,Bahrain
13263,Argentina
13834,United States
13891,Argentina
14158,Argentina
14320,United States
14120,Indonesia
11903,United States
13583,United States
14625,United States
14626,United States
12579,United States
13307,Saudi Arabia
13308,Saudi Arabia
13320,Saudi Arabia
11420,United States
13703,Canada
12123,United Arab Emirates
12124,United Arab Emirates
12125,United Arab Emirates
12126,United Arab Emirates
12127,United Arab Emirates
13640,Iraq
13641,Iraq
13642,Iraq
14344,Libya
12558,United States
12773,Denmark
13166,Denmark
13582,Denmark
13710,Denmark
14107,Denmark
12077,Mexico
12360,United States
11978,Saudi Arabia
12763,Colombia
13645,Colombia
12078,Kuwait
12079,Kuwait
12080,Kuwait
12081,Kuwait
12218,Kuwait
13184,Kuwait
13185,Kuwait
13186,Kuwait
13813,Kuwait
13814,Kuwait
13815,United States
13816,Kuwait
14588,Vietnam
13539,Vietnam
12289,Saudi Arabia
12290,Indonesia
12618,Saudi Arabia
12696,Argentina
12196,United States
12197,United States
12198,United States
12199,United States
12200,United States
13620,United States
14609,Denmark
14610,Denmark
14611,Denmark
14171,United States
13588,Saudi Arabia
13607,Canada
12765,Norway
12766,Norway
14485,United States
14765,United States
11890,Italy
13250,Norway
13485,United States
14515,New Zealand
12672,Iraq
12473,Canada
12183,Oman
12787,United States
13617,United States
13997,United States
12205,United States
12691,United States
13254,United States
13616,United States
13652,United States
13653,United States
13732,United States
13733,United States
13797,United States
13841,United States
14062,United States
14064,United States
14132,United States
14208,United States
14265,United States
14291,United States
14350,United States
14486,United States
14575,United States
14748,United States
14749,United States
14766,United States
13248,United States
12650,United States
14488,Italy
11713,Norway
12043,Norway
13302,Argentina
13892,Argentina
13213,Canada
13214,Canada
13215,United Arab Emirates
13216,United Arab Emirates
13217,United Arab Emirates
13218,United Arab Emirates
13219,United Arab Emirates
13220,United Arab Emirates
13221,United Arab Emirates
13222,United Arab Emirates
13350,United States
13351,United States
13789,United States
13790,United States
13964,United States
13965,United States
14053,United States
14148,United States
14565,United States
14566,United States
14745,United States
12366,Qatar
12367,Qatar
12518,Qatar
12862,Qatar
13042,Qatar
13084,Qatar
13731,Qatar
14406,Qatar
14570,Qatar
11917,United States
13801,United States
14463,United States
13323,United States
11955,United Arab Emirates
11905,Kazakhstan
12182,Kazakhstan
14519,Iraq
14495,United States
13780,United Arab Emirates
13781,United Arab Emirates
13782,United Arab Emirates
13422,United States
14827,Oman
14828,Oman
12155,Canada
12156,Canada
12157,Canada
12158,Canada
12159,Canada
12160,Canada
12161,Canada
12162,Canada
12163,Canada
12865,Canada
12866,Canada
12867,Canada
12868,Canada
14362,United Arab Emirates
14363,United Arab Emirates
14364,United Arab Emirates
14365,United Arab Emirates
14366,United Arab Emirates
14367,United Arab Emirates
14368,United Arab Emirates
14369,United Arab Emirates
14370,United Arab Emirates
14371,United Arab Emirates
14372,United Arab Emirates
14373,United Arab Emirates
12460,Argentina
14285,United States
14212,United States
14111,United States
14112,United States
14113,United States
13751,Argentina
12050,Mexico
12302,Mexico
13881,Mexico
14255,Mexico
14314,Mexico
12133,United States
12524,United States
12136,Canada
12137,Canada
12138,Canada
12139,Canada
12140,Canada
13672,United States
13580,Norway
11801,Oman
11802,Oman
11803,Oman
13146,United Arab Emirates
12873,Oman
13639,Oman
13644,Oman
14150,Oman
11912,United States
12686,United States
12575,United States
12656,United States
11744,United States
12590,New Zealand
12591,New Zealand
14210,United Arab Emirates
14233,United Arab Emirates
14234,United Arab Emirates
12285,Saudi Arabia
12347,Saudi Arabia
13327,Saudi Arabia
14523,Saudi Arabia
14524,Saudi Arabia
12484,Mexico
11980,Saudi Arabia
12900,Saudi Arabia
12927,Saudi Arabia
13073,Saudi Arabia
13074,Saudi Arabia
13075,Saudi Arabia
13076,Saudi Arabia
12928,Saudi Arabia
13070,Saudi Arabia
13071,Saudi Arabia
13072,Saudi Arabia
13760,Saudi Arabia
13128,Brazil
"11679, 11679A, 11679B, 11679C",United States
14439,United States
9966,Colombia
14461,Canada
14462,Canada
11951,United States
14732,United States
12854,Egypt
12631,Ecuador
13040,Iraq
13041,Iraq
12853,Mexico
14221,Colombia
12033,United States
13537,Colombia
12071,Kuwait
12072,Kuwait
13808,Kuwait
13809,Kuwait
12068,United States
12356,United States
12659,United States
12882,United States
13130,United States
13824,United States
"11424,",United States
14102,Argentina
14744,United States
14730,Colombia
13187,United States
13861,United States
11841,Norway
12067,United States
14279,United States
14315,United States
14528,United States
11901,Algeria
11902,Algeria
12468,Norway
12469,Norway
11918,United States
14389,United States
11931,Angola
12097,Angola
12470,Angola
12611,Egypt
12612,Egypt
12613,Egypt
13018,Angola
13141,Mexico
13142,Mexico
13143,Colombia
13144,Colombia
13498,Angola
13724,Angola
13725,Angola
13894,Angola
12848,United States
12056,Colombia
12651,Mexico
12902,United States
12150,United States
13585,United States
12652,Mexico
14522,Saudi Arabia
11924,Tunisia
12963,Tunisia
14335,United States
14337,United States
12227,Kazakhstan
12654,Mexico
13767,Algeria
13400,United States
13791,United States
13792,United States
14078,United States
14281,United States
14332,United States
14399,United States
14567,United States
14568,United States
"11239,",United States
10937,United States
12653,Mexico
10845,Indonesia
13969,Brazil
11981,Saudi Arabia
13715,China
14194,Iraq
13114,United States
14649,United States
12291,United States
12932,United States
12939,United States
14249,United States
14502,United States
14759,United States
"11129,",United States
12712,United States
12465,Saudi Arabia
11916,United States
13003,Ukraine
13309,Saudi Arabia
13310,Saudi Arabia
14404,Norway
14413,Norway
12913,Mexico
11939,Qatar
11940,Qatar
12365,Qatar
12516,Qatar
12517,Qatar
12863,Qatar
13728,Qatar
14571,Qatar
14572,Qatar
14573,Qatar
13584,United States
13704,Canada
14428,United States
10708,United States
12510,Iraq
14706,China
13899,United States
12226,Kazakhstan
12359,United States
12467,United States
12875,United States
14235,United States
14708,United States
14589,Germany
11892,Brazil
13127,Brazil
13445,United States
13452,United States
12655,Mexico
13369,India
13370,India
13375,India
13376,India
13316,Saudi Arabia
14123,Mexico
14654,Mexico
14715,Mexico
14172,United States
14228,Germany
12721,Ecuador
13027,Ecuador
14641,Ecuador
12587,India
12680,India
12681,India
13045,Saudi Arabia
13046,Saudi Arabia
12903,United States
"11246,",United States
13113,Saudi Arabia
12570,United States
12901,United States
13723,Mexico
12354,Canada
11842,Nigeria
13778,Saudi Arabia
12679,Angola
13224,Canada
13342,Egypt
13343,Egypt
13419,Canada
13711,Canada
11925,Brazil
12835,United States
13516,Mexico
13991,Mexico
12413,United States
11729,United States
14506,United Arab Emirates
14489A,United States
11478,Argentina
12119,United States
12583,United States
13381,United States
12410,Norway
12992,United Arab Emirates
12993,United Arab Emirates
13147,United Arab Emirates
13530A--H,Canada
14209,Saudi Arabia
12278,United States
12221,United States
12509,Iraq
13246,Canada
11753,New Zealand
11754,New Zealand
13098,Brazil
13099,Brazil
11959,Egypt
12120,United Arab Emirates
12555,United States
13972,Egypt
14226,United Arab Emirates
"11946, 12207H, 12232D, 122232E, 12232E, 12232F, 12232G, 12445A, 12445B, 12445C, 12445D, 12232E, 12445I, 12445J",Canada
12988,Iraq
12989,Iraq
13796,Nigeria
13531,Canada
13968,United Arab Emirates
13364,India
13371,India
13372,India
13373,India
13374,India
14578,Germany
14579,Germany
10910,United States
13096,United States
13830,Saudi Arabia
14396,Netherlands
12166,Canada
12167,Canada
12168,Canada
12169,Canada
12170,Canada
12171,Canada
12172,Canada
12173,Canada
13840,Kazakhstan
11891,United States
12129,United States
12417,United States
13140,United States
13398,United States
13999,United States
14514,United States
12559,United States
12052,United States
12637,United States
12973,United States
14043,United States
13047,Saudi Arabia
13048,Saudi Arabia
14101,Colombia
10497,United States
12293,Mexico
13608,Mexico
14308,Mexico
14755,United Kingdom
14756,United Kingdom
12288,Mexico
14768,Colombia
12358,United States
13527,Canada
14220,United States
13698,United States
13854,Ghana
13453,United States
11979,Saudi Arabia
12929,Saudi Arabia
12930,Saudi Arabia
13687,Thailand
14299,Thailand
14298,Thailand
14052,Trinidad and Tobago
13448,Ukraine
12533,United States
11894,Brazil
11896,Brazil
12181,Brazil
14505,Brazil
12523,Italy
12869,Iraq
12422,United States
"10909,",United States
14007,Congo
14290,Congo
9902,United States
11963,Algeria
14647,Colombia
14286,Canada
14747,United States
12690,Libya
12560,United States
13807,United States
14147,United States
14837,United States
14063,Ecuador
14074,Canada
12858,Italy
12187,United States
12188,United States
12486,Mexico
12277,Egypt
13086,United Arab Emirates
14227,United Arab Emirates
12287,Saudi Arabia
12349,Saudi Arabia
12350,Saudi Arabia
12564,United States
12688,Saudi Arabia
12933,United States
14525,Saudi Arabia
11920,Canada
11922,Canada
13362,India
13363,United Arab Emirates
14336,United States
11923,Canada
14260,United States
14453,United States
13686,Egypt
14725,Egypt
11962,Saudi Arabia
12047,Argentina
12534,United States
13886A-H,United States
13885,United States
13326,Saudi Arabia
14216,United Arab Emirates
12462,Norway
14075,Mexico
11776,United States
12317,United States
13533,United States
13624,United States
13831,United States
14639,United States
12640,Canada
14446,Canada
12423,Brazil
12424,Brazil
12857,Brazil
14244,Brazil
13626,Mexico
12117,United States
12556,United States
13001,United States
13225,Mexico
13594,United States
14533,Brazil
14254,United States
13577,Netherlands
13352,Saudi Arabia
12286,Saudi Arabia
12348,Saudi Arabia
13581,Denmark
12636,Canada
11888,Canada
13049,Canada
13590,Canada
13591,Canada
13359,Saudi Arabia
11960,Egypt
11961,Egypt
13970,Egypt
13971,Egypt
14230,Egypt
11538,United States
11956,United Arab Emirates
12699,United Arab Emirates
14705,China
13295,Saudi Arabia
13395,Canada
14094,Canada
14159,Canada
11863,Chile
14504,Iraq
11899,Algeria
11900,Algeria
13039,Canada
"12604E,F,G,H,I,J,K",United States
11843,Nigeria
11844,Nigeria
12846,Bahrain
13888,United States
13889,United States
13890,United States
13832,Mexico
14638,Mexico
12363,United States
13747,Italy
13748,Italy
11957,Algeria
14202,Mexico
13131,Canada
13803,Canada
14109,Canada
14110,Canada
14721,United Arab Emirates
13150,United States
12089,Colombia
13256,United States
13257,United States
13258,United States
13259,United States
14712,Mexico
11625,United States
12994,United Arab Emirates
12638,Canada
14289,Nigeria
12051,United States
12519,United States
12952,Mexico
13266,Mexico
13269,Mexico
13621,Mexico
13674,Mexico
14057,Mexico
13249,United States
14003,Canada
12557,United States
12694,Mexico
13526,Mozambique
13690,Mozambique
14217,United States
14263,Germany
14055,Mexico
14200,United States
12568,United States
12647,United States
12648,United States
12692,United States
13062,Italy
12724,United States
13054,Colombia
13365,India
13366,India
13367,India
13368,India
12049,United States
12425,Mexico
12953,Mexico
13265,Mexico
13268,Mexico
13673,Mexico
14282,Mexico
13709,Nigeria
12458,United States
13051,Canada
13052,Canada
13595,Canada
13596,Canada
13597,Canada
13598,Canada
13599,Canada
14832,United States
12877,Iraq
12917,Iraq
12931,Iraq
11953,United States
13388,United States
13389,United States
13125,Brazil
13126,Brazil
14544,Argentina
12803,Egypt
12804,Egypt
14124,Colombia
14434,Mexico
12024,Colombia
11948,Bolivia
11904,United States
13676,Brazil
12610,United States
12847,United States
13396,Canada
11692,Canada
11725,United States
13010,Algeria
13092,Algeria
13280,United Arab Emirates
14019,Netherlands
13189,Mexico
14201,Mexico
12838,United States
13270,Mexico
13260,United States
13261,United States
13387,United States
14584,Bolivia
14437,Mexico
14070,United States
14397,Colombia
13794,Nigeria
14833,Nigeria
13392,United States
13393,United States
13826,Saudi Arabia
12477,Congo
12938,Congo
13759,Congo
14213,Congo
13549,Brazil
13550,Brazil
13677,Brazil
12331,United States
13535,Saudi Arabia
"12639A,B,C,D,E",Canada
13004,Ukraine
12817,United States
13137,United States
14503,United States
11789,United States
13297,Canada
14104,United States
13887A,Congo
14199,United States
14077,United States
12582,Mexico
14769,Colombia
14629,Mexico
11943,United States
12498,United States
14174,United States
14008,Mexico
12539,United States
14636,Trinidad and Tobago
12100,Mexico
13770,Colombia
13528C-I,Canada
13354,Mexico
14403,United States
